,,Openflux NH3,,Eddypro NH3,,Openflux CO2,Eddypro,Eddypro CO2,,Openflux H2O,un_h2o_flux,Eddypro H20
,,mg/m2s,[µmol+1s-1m-2],mg/m2s,,mg/m2s,[µmol+1s-1m-2],,,g/m2s,[mmol+1s-1m-2],g/m2s
2024/6/19,9:30,4.13E-5,0.00149,2.533E-5,--,-0.262372246,-5.96011,-0.26224484,--,0.00238506,0.133608,0.002404944
2024/6/19,10:00,2.72E-5,0.00167,2.839E-5,--,-0.295896796,-6.73787,-0.29646628,--,-0.001618104,-0.0868,-0.0015624
2024/6/19,10:30,7.66E-5,0.00446,7.582E-5,--,-0.312864832,-7.10263,-0.31251572,--,-1.87741E-4,-0.0128,-2.304E-4
2024/6/19,11:00,-4.5E-5,0.00266,4.522E-5,--,-0.279871185,-6.35263,-0.27951572,--,0.010458498,0.559711,0.010074798
2024/6/19,11:30,-1.25E-5,0.00285,4.845E-5,--,-0.317216929,-7.10274,-0.31252056,--,0.001475629,0.0779,0.0014022
2024/6/19,12:00,3.74E-5,0.0014,2.38E-5,--,-0.269327528,-6.10753,-0.26873132,--,0.002557936,0.142243,0.002560374
2024/6/19,12:30,4.01E-5,0.00149,2.533E-5,--,-0.335114571,-7.5995,-0.334378,--,0.002926771,0.158944,0.002860992
2024/6/19,13:00,4.29E-5,0.00116,1.972E-5,--,-0.291650807,-6.63351,-0.29187444,--,0.001597495,0.085,0.00153
2024/6/19,13:30,2.72E-5,-8.64E-4,-1.4688E-5,--,-0.265835966,-6.03522,-0.26554968,--,-0.002319892,-0.11154,-0.00200772
2024/6/19,14:00,-1.27E-5,-1.42E-4,-2.414E-6,--,-0.175469841,-3.93662,-0.17321128,--,7.11271E-4,0.0257,4.626E-4
2024/6/19,14:30,-6.68E-6,-4.12E-4,-7.004E-6,--,--,--,--,--,-0.006362762,0.152376,0.002742768
2024/6/19,15:00,-2.7E-5,4.52E-4,7.684E-6,--,-0.153392309,-3.49008,-0.15356352,--,0.005308008,0.292944,0.005272992
2024/6/19,15:30,1.62E-5,-6.99E-4,-1.1883E-5,--,-0.101456733,-2.30727,-0.10151988,--,-6.46574E-4,-0.0453,-8.154E-4
2024/6/19,16:00,-2.71E-6,-1.56E-4,-2.652E-6,--,-0.065773987,-1.49119,-0.06561236,--,0.001072842,0.0606,0.0010908
2024/6/19,16:30,-1.19854E-4,-0.00601,-1.0217E-4,--,-0.169394234,-3.86913,-0.17024172,--,-0.007637264,-0.396137,-0.007130466
2024/6/19,17:00,-7.37E-5,-0.00512,-8.704E-5,--,0.054930972,1.22845,0.0540518,--,0.005663969,0.316149,0.005690682
2024/6/19,17:30,4.29E-5,0.00261,4.437E-5,--,-0.072350846,-1.21099,-0.05328356,--,-0.003812869,-0.17312,-0.00311616
2024/6/19,18:00,-5.02E-5,-0.00291,-4.947E-5,--,0.242321361,5.54004,0.24376176,--,0.006910229,0.387993,0.006983874
2024/6/19,18:30,-2.09E-6,-1.25E-4,-2.125E-6,--,0.493317761,11.2541,0.4951804,--,0.008682036,0.464911,0.008368398
2024/6/19,19:00,4.4E-7,2.3E-5,3.91E-7,--,0.178972923,3.89851,0.17153444,--,0.005671464,0.306857,0.005523426
2024/6/19,19:30,2.56E-7,1.62E-5,2.754E-7,--,0.093763595,2.04871,0.09014324,--,0.002251064,0.119059,0.002143062
2024/6/19,20:00,1.44E-5,8.43E-4,1.4331E-5,--,0.056044155,1.23975,0.054549,--,6.77419E-4,-0.0367,-6.606E-4
2024/6/19,20:30,-2.7E-5,-0.00148,-2.516E-5,--,-0.391214163,-8.20083,-0.36083652,--,-0.005718151,-0.29525,-0.0053145
2024/6/19,21:00,-3.86E-5,-0.00233,-3.961E-5,--,-0.209671545,-4.56548,-0.20088112,--,-0.006488336,-0.366648,-0.006599664
2024/6/19,21:30,-1.29359E-4,-0.00689,-1.1713E-4,--,0.491498095,11.1599,0.4910356,--,0.004468529,0.245019,0.004410342
2024/6/19,22:00,2.36E-5,0.00237,4.029E-5,--,0.051838021,0.975974,0.042942856,--,3.71E-5,0.0063,1.134E-4
2024/6/19,22:30,2.51599E-4,0.0137,2.329E-4,--,-0.060915317,0.564222,0.024825768,--,-7.83426E-4,-0.0241,-4.338E-4
2024/6/19,23:00,2.72E-5,0.0016,2.72E-5,--,0.197155113,4.0465,0.178046,--,0.00681877,0.375023,0.006750414
2024/6/19,23:30,1.54E-5,-3.84E-4,-6.528E-6,--,0.136171689,2.75728,0.12132032,--,6.88547E-4,0.0435,7.83E-4
2024/6/20,2024/6/20 0:00,1.65E-5,-7.52E-4,-1.2784E-5,--,0.297026475,6.60562,0.29064728,--,0.002238547,0.125979,0.002267622
2024/6/20,0:30,-1.17E-5,3.35E-4,5.695E-6,--,0.198053039,4.48557,0.19736508,--,0.002435081,0.134767,0.002425806
2024/6/20,1:00,-7.59E-6,-3.95E-4,-6.715E-6,--,0.072866274,2.2533,0.0991452,--,8.16822E-4,0.0509,9.162E-4
2024/6/20,1:30,1.52E-5,0.00118,2.006E-5,--,-1.10899627,-24.6608,-1.0850752,--,0.00258005,0.136435,0.00245583
2024/6/20,2:00,8.67E-6,5.78E-4,9.826E-6,--,-0.193636718,-4.35614,-0.19167016,--,6.61875E-4,0.037,6.66E-4
2024/6/20,2:30,8.53E-6,-8.02E-5,-1.3634E-6,--,-0.260554132,-5.62606,-0.24754664,--,-0.004176062,-0.224462,-0.004040316
2024/6/20,3:00,3.69E-6,-2.76E-4,-4.692E-6,--,-0.270601911,-5.76228,-0.25354032,--,-0.001386722,-0.0713,-0.0012834
2024/6/20,3:30,-5.5E-5,-0.00337,-5.729E-5,--,-0.270521814,-6.11759,-0.26917396,--,-8.55696E-4,-0.0491,-8.838E-4
2024/6/20,4:00,-1.74E-5,-0.00151,-2.567E-5,--,0.293532819,6.85773,0.30174012,--,-3.39087E-4,-0.02,-3.6E-4
2024/6/20,4:30,6.47E-5,0.00362,6.154E-5,--,-0.34309748,-7.94299,-0.34949156,--,-0.001332828,-0.0735,-0.001323
2024/6/20,5:00,8.73E-6,-5.5E-5,-9.35E-7,--,0.040757203,0.649777,0.028590188,--,5.47266E-4,0.0248,4.464E-4
2024/6/20,5:30,-5.08E-5,-0.00216,-3.672E-5,--,0.37186439,8.47901,0.37307644,--,-0.002758023,-0.15621,-0.00281178
